HS코드,품목명,국가명,수출금액,수출건수,기준월
851713,스마트폰용 무선통신기기,일본,130932,15,2026-09
852872,컬러 TV 수신기,대만,53886,83,2026-09
852872,컬러 TV 수신기,대만,15023,3,2026-08
850440,정류기 및 전력 소자,베트남,58735,30,2026-08
854232,시스템 반도체 (AP),멕시코,102355,21,2026-07
847330,컴퓨터 부품 및 주변기기,독일,129608,91,2026-09
847330,컴퓨터 부품 및 주변기기,멕시코,129523,60,2026-09
854110,반도체 다이오드,일본,55886,64,2026-07
854110,반도체 다이오드,대만,2890,7,2026-07
901380,액정표시장치 (LCD),싱가포르,86313,4,2026-07
854232,시스템 반도체 (AP),베트남,67148,2,2026-09
851713,스마트폰용 무선통신기기,일본,16159,47,2026-09
854231,메모리 반도체 (DRAM),일본,18457,6,2026-08
847330,컴퓨터 부품 및 주변기기,일본,8692,63,2026-08
847330,컴퓨터 부품 및 주변기기,일본,36065,62,2026-08
852872,컬러 TV 수신기,독일,90387,62,2026-07
854232,시스템 반도체 (AP),싱가포르,8268,24,2026-08
901380,액정표시장치 (LCD),일본,138643,41,2026-07
854231,메모리 반도체 (DRAM),미국,39774,9,2026-07
852872,컬러 TV 수신기,멕시코,135330,81,2026-09
854110,반도체 다이오드,미국,11666,5,2026-08
851713,스마트폰용 무선통신기기,베트남,103488,28,2026-09
901380,액정표시장치 (LCD),멕시코,112569,33,2026-09
851713,스마트폰용 무선통신기기,독일,122684,99,2026-08
854110,반도체 다이오드,미국,112252,47,2026-08
854110,반도체 다이오드,미국,97806,14,2026-09
901380,액정표시장치 (LCD),싱가포르,121409,77,2026-09
851713,스마트폰용 무선통신기기,미국,106059,96,2026-08
850440,정류기 및 전력 소자,싱가포르,61623,71,2026-09
854110,반도체 다이오드,독일,42585,42,2026-07
901380,액정표시장치 (LCD),대만,1693,28,2026-08
847330,컴퓨터 부품 및 주변기기,싱가포르,145779,89,2026-09
854231,메모리 반도체 (DRAM),미국,127376,27,2026-08
901380,액정표시장치 (LCD),일본,126948,3,2026-09
847130,휴대용 컴퓨터(노트북),멕시코,135602,9,2026-08
850440,정류기 및 전력 소자,미국,12545,44,2026-09
847130,휴대용 컴퓨터(노트북),멕시코,67840,52,2026-07
854231,메모리 반도체 (DRAM),베트남,51733,39,2026-08
854110,반도체 다이오드,미국,66172,56,2026-07
854231,메모리 반도체 (DRAM),베트남,111859,54,2026-09
850440,정류기 및 전력 소자,멕시코,6392,1,2026-09
854232,시스템 반도체 (AP),대만,49859,90,2026-08
851713,스마트폰용 무선통신기기,일본,97506,56,2026-09
854231,메모리 반도체 (DRAM),싱가포르,105308,98,2026-08
847130,휴대용 컴퓨터(노트북),중국,109078,16,2026-07
901380,액정표시장치 (LCD),일본,85202,70,2026-07
854110,반도체 다이오드,일본,132883,59,2026-09
847330,컴퓨터 부품 및 주변기기,중국,141483,96,2026-09
854239,기타 집적회로 반도체,미국,83896,40,2026-09
854232,시스템 반도체 (AP),멕시코,36504,11,2026-07
901380,액정표시장치 (LCD),베트남,46254,31,2026-08
847330,컴퓨터 부품 및 주변기기,중국,146718,16,2026-08
901380,액정표시장치 (LCD),일본,110472,2,2026-07
850440,정류기 및 전력 소자,대만,28855,9,2026-07
854110,반도체 다이오드,중국,14151,80,2026-09
854239,기타 집적회로 반도체,멕시코,119885,33,2026-09
854231,메모리 반도체 (DRAM),멕시코,4539,38,2026-08
854110,반도체 다이오드,멕시코,132629,89,2026-09
901380,액정표시장치 (LCD),대만,20357,82,2026-08
847130,휴대용 컴퓨터(노트북),중국,49108,41,2026-07
854239,기타 집적회로 반도체,미국,90412,48,2026-09
854110,반도체 다이오드,미국,69271,33,2026-09
854110,반도체 다이오드,독일,18830,22,2026-08
847130,휴대용 컴퓨터(노트북),독일,133508,51,2026-08
852872,컬러 TV 수신기,중국,29746,98,2026-07
854231,메모리 반도체 (DRAM),일본,106455,97,2026-07
854110,반도체 다이오드,일본,101946,64,2026-07
854231,메모리 반도체 (DRAM),일본,123123,30,2026-07
850440,정류기 및 전력 소자,독일,62208,37,2026-07
854231,메모리 반도체 (DRAM),독일,114294,99,2026-07
854239,기타 집적회로 반도체,싱가포르,140564,85,2026-09
854231,메모리 반도체 (DRAM),멕시코,25641,25,2026-08
847130,휴대용 컴퓨터(노트북),베트남,102746,46,2026-08
847130,휴대용 컴퓨터(노트북),싱가포르,34777,27,2026-08
854232,시스템 반도체 (AP),베트남,104864,43,2026-08
851713,스마트폰용 무선통신기기,대만,4801,26,2026-09
854232,시스템 반도체 (AP),미국,9647,13,2026-08
851713,스마트폰용 무선통신기기,미국,109627,45,2026-07
852872,컬러 TV 수신기,멕시코,69031,14,2026-09
851713,스마트폰용 무선통신기기,싱가포르,143475,98,2026-08
851713,스마트폰용 무선통신기기,싱가포르,117834,25,2026-08
847130,휴대용 컴퓨터(노트북),베트남,30024,52,2026-08
847130,휴대용 컴퓨터(노트북),싱가포르,94285,60,2026-07
854231,메모리 반도체 (DRAM),멕시코,149580,60,2026-07
851713,스마트폰용 무선통신기기,일본,72523,16,2026-07
854232,시스템 반도체 (AP),일본,82613,19,2026-07
852872,컬러 TV 수신기,싱가포르,27251,58,2026-09
847330,컴퓨터 부품 및 주변기기,대만,31217,62,2026-09
901380,액정표시장치 (LCD),일본,73740,1,2026-08
847330,컴퓨터 부품 및 주변기기,미국,129798,34,2026-08
847130,휴대용 컴퓨터(노트북),멕시코,19056,1,2026-07
851713,스마트폰용 무선통신기기,멕시코,139734,69,2026-08
851713,스마트폰용 무선통신기기,중국,66215,51,2026-07
847130,휴대용 컴퓨터(노트북),미국,92468,78,2026-07
854231,메모리 반도체 (DRAM),독일,77781,69,2026-08
847330,컴퓨터 부품 및 주변기기,멕시코,120172,39,2026-07
850440,정류기 및 전력 소자,싱가포르,103185,10,2026-08
850440,정류기 및 전력 소자,일본,67385,52,2026-09
847330,컴퓨터 부품 및 주변기기,베트남,109226,58,2026-07
852872,컬러 TV 수신기,대만,15364,4,2026-09
854232,시스템 반도체 (AP),미국,48115,32,2026-09
854239,기타 집적회로 반도체,멕시코,10938,33,2026-07
854110,반도체 다이오드,중국,102691,67,2026-07
854231,메모리 반도체 (DRAM),멕시코,68449,43,2026-07
854232,시스템 반도체 (AP),대만,91658,35,2026-09
854231,메모리 반도체 (DRAM),베트남,24351,93,2026-08
847330,컴퓨터 부품 및 주변기기,베트남,64953,7,2026-08
850440,정류기 및 전력 소자,베트남,10338,29,2026-07
850440,정류기 및 전력 소자,대만,43425,73,2026-09
854231,메모리 반도체 (DRAM),중국,84999,36,2026-08
854231,메모리 반도체 (DRAM),싱가포르,137429,96,2026-07
854231,메모리 반도체 (DRAM),싱가포르,70180,23,2026-07
854110,반도체 다이오드,미국,110888,62,2026-07
847130,휴대용 컴퓨터(노트북),대만,65234,19,2026-07
854239,기타 집적회로 반도체,일본,58163,78,2026-09
854239,기타 집적회로 반도체,중국,4486,16,2026-07
850440,정류기 및 전력 소자,중국,101795,25,2026-09
850440,정류기 및 전력 소자,일본,117324,23,2026-07
851713,스마트폰용 무선통신기기,대만,88780,42,2026-08
851713,스마트폰용 무선통신기기,독일,125174,5,2026-09
851713,스마트폰용 무선통신기기,대만,101634,75,2026-08
901380,액정표시장치 (LCD),베트남,542,46,2026-07
852872,컬러 TV 수신기,베트남,92105,27,2026-08
854232,시스템 반도체 (AP),대만,87092,37,2026-08
854110,반도체 다이오드,멕시코,12807,65,2026-08
854239,기타 집적회로 반도체,미국,131396,4,2026-08
854110,반도체 다이오드,대만,25790,91,2026-08
847330,컴퓨터 부품 및 주변기기,중국,14485,67,2026-07
854232,시스템 반도체 (AP),일본,2709,58,2026-07
901380,액정표시장치 (LCD),싱가포르,51224,3,2026-07
901380,액정표시장치 (LCD),싱가포르,27016,25,2026-07
847130,휴대용 컴퓨터(노트북),대만,113821,58,2026-07
850440,정류기 및 전력 소자,멕시코,92396,75,2026-07
854239,기타 집적회로 반도체,중국,12843,57,2026-08
901380,액정표시장치 (LCD),미국,37413,15,2026-09
854231,메모리 반도체 (DRAM),대만,109133,3,2026-09
901380,액정표시장치 (LCD),중국,77859,74,2026-08
852872,컬러 TV 수신기,일본,118156,8,2026-08
854239,기타 집적회로 반도체,베트남,101023,58,2026-08
850440,정류기 및 전력 소자,미국,3835,64,2026-09
847130,휴대용 컴퓨터(노트북),싱가포르,104616,73,2026-07
850440,정류기 및 전력 소자,일본,96007,29,2026-07
854110,반도체 다이오드,대만,135785,69,2026-09
901380,액정표시장치 (LCD),베트남,57141,5,2026-09
852872,컬러 TV 수신기,미국,60813,65,2026-08
854231,메모리 반도체 (DRAM),중국,61292,26,2026-09
901380,액정표시장치 (LCD),독일,5970,27,2026-07
854231,메모리 반도체 (DRAM),베트남,74880,99,2026-09
854231,메모리 반도체 (DRAM),대만,11763,81,2026-07
850440,정류기 및 전력 소자,독일,79642,53,2026-09
850440,정류기 및 전력 소자,대만,9916,74,2026-08
854110,반도체 다이오드,미국,120288,1,2026-09
854239,기타 집적회로 반도체,독일,36744,32,2026-08
852872,컬러 TV 수신기,싱가포르,13489,34,2026-08
847130,휴대용 컴퓨터(노트북),중국,93074,50,2026-07
847130,휴대용 컴퓨터(노트북),일본,105884,94,2026-08
901380,액정표시장치 (LCD),미국,18198,47,2026-09
850440,정류기 및 전력 소자,대만,76709,66,2026-09
854110,반도체 다이오드,싱가포르,80317,64,2026-08
847130,휴대용 컴퓨터(노트북),베트남,54393,82,2026-08
854110,반도체 다이오드,싱가포르,74745,52,2026-07
847130,휴대용 컴퓨터(노트북),미국,96239,79,2026-08
851713,스마트폰용 무선통신기기,베트남,42088,5,2026-07
854239,기타 집적회로 반도체,베트남,54479,17,2026-08
854231,메모리 반도체 (DRAM),일본,54123,88,2026-07
854232,시스템 반도체 (AP),독일,13388,66,2026-07
854110,반도체 다이오드,싱가포르,147216,23,2026-09
847130,휴대용 컴퓨터(노트북),멕시코,23071,4,2026-07
854110,반도체 다이오드,멕시코,100570,27,2026-07
854232,시스템 반도체 (AP),대만,120465,51,2026-09
850440,정류기 및 전력 소자,대만,110195,42,2026-07
847130,휴대용 컴퓨터(노트북),대만,38749,1,2026-07
901380,액정표시장치 (LCD),일본,148849,46,2026-08
854231,메모리 반도체 (DRAM),독일,90865,45,2026-09
901380,액정표시장치 (LCD),베트남,140560,47,2026-07
847130,휴대용 컴퓨터(노트북),싱가포르,149334,48,2026-07
854231,메모리 반도체 (DRAM),베트남,63291,1,2026-07
854110,반도체 다이오드,대만,130374,56,2026-08
847330,컴퓨터 부품 및 주변기기,일본,72686,78,2026-08
847330,컴퓨터 부품 및 주변기기,독일,145106,56,2026-09
851713,스마트폰용 무선통신기기,중국,17030,23,2026-08
854232,시스템 반도체 (AP),베트남,87869,99,2026-09
901380,액정표시장치 (LCD),싱가포르,110076,28,2026-08
851713,스마트폰용 무선통신기기,미국,49448,86,2026-08
901380,액정표시장치 (LCD),미국,133668,84,2026-07
854239,기타 집적회로 반도체,베트남,81152,18,2026-09
854239,기타 집적회로 반도체,싱가포르,25069,34,2026-09
852872,컬러 TV 수신기,멕시코,80264,83,2026-08
901380,액정표시장치 (LCD),대만,47447,98,2026-09
852872,컬러 TV 수신기,중국,16260,70,2026-07
901380,액정표시장치 (LCD),미국,115148,22,2026-07
847130,휴대용 컴퓨터(노트북),독일,71303,4,2026-08
852872,컬러 TV 수신기,싱가포르,123040,3,2026-09
852872,컬러 TV 수신기,대만,75323,24,2026-09
847130,휴대용 컴퓨터(노트북),베트남,40427,92,2026-09
854239,기타 집적회로 반도체,싱가포르,130189,94,2026-08
854110,반도체 다이오드,독일,52441,79,2026-09
852872,컬러 TV 수신기,베트남,45514,45,2026-07
847130,휴대용 컴퓨터(노트북),베트남,41101,68,2026-09
854239,기타 집적회로 반도체,미국,126534,1,2026-08
